"","x"
"67429065",0.0510831909725766
"82317494",0.0674299926859116
"50403446",0.109340284484997
"95491648",0.0267828425968329
"31509843",0
"95919181",0.106878351034138
"39316600",0.108630416248998
"65652206",0
"51400993",0.0467195393138494
"45115248",0.0617569196115163
"43074402",0.010404031092391
"7253015",0.110550314721876
"87410220",0.0739062796877704
"61142759",0.0710396967821307
"65736039",0.0290433838588875
"22776575",0.0303857802310948
"92113025",0.0255142613068364
"39989287",0.0923861847223214
"87038802",0.035387189828141
"38967303",0.00895896086724538
"85171938",0.100669559686606
"14184286",0.114152318307756
"34962204",0.0980999660737774
"92613520",0
"92393245",0.0655327718606102
"50101523",0.0392154545515085
"77239958",0.0306760973462033
"50400835",0.0640209748464241
"5779736",0.101588463327509
"71727427",0.0892237247333644
"70917649",0.0363361003099642
"37065652",0.109951149792537
"77330002",0.0822137271969302
"45566083",0.0941454587629167
"72188804",0.0469486498316979
"50402693",0.129268471485433
"51815338",0.111872533577998
"44749170",0.0794951535541198
"74753465",0.0878488810095354
"87779516",0.0622494258010615
"92996364",0.0730071487244426
"70816595",0.0524534874477309
"46246604",0.098255180087102
"50500136",0.00931357744161714
"4576591",0.0818385913327894
"50410283",0.036554313348036
"27313862",0.0723143620555641
"4879843",0.0369926280992674
"18414513",0.130681202282955
"54122640",0.177191532259473
"50406057",0.165349437571177
"68745332",0.0125916167756596
"61029627",0.0766649256533922
"21362537",0.105704863659758
"50109477",0
"50405330",0.122745025281039
"15387421",0.139019103714607
"52311825",0.104076350942146
"37527863",0.128486810103701
"76867532",0.111771955356938
"60747316",0.0916275354667741
"82684406",0.147268106696839
"50106280",0.0316305428310204
"14498577",0.0221739090326267
"50409370",0.180657702507719
"5689621",0.123604335498876
"90447310",0.0346210029675937
"86177506",0.0939090723291165
"84417209",0.0790774165076263
"50106578",0.164375610850008
"44019405",0.135402662694485
"78452313",0.0710825008528776
"39484737",0.0574269959554955
"16513683",0.019415761310776
"7311370",0.168951158261517
"23004922",0.119679787087428
"91707643",0.0305623910893065
"65292866",0.105282487336134
"32705437",0.117182894864294
"83984043",0.138675078381592
"30819298",0.0703174013087104
"94430339",0.0864441207511586
"50302554",0.160871456823957
"89377194",0.0572124805209092
"90942860",0.0685109531657176
"50410319",0.0867696691294444
"25580771",0.106188232398452
"8132197",0.0677356859228574
"50108886",0.120754493643115
"50409532",0.0848910973565859
"50103129",0.0534480688042653
"60848460",0.0613758461240055
"66406040",0.0734119795180185
"2525608",0.0534199930408517
"50402729",0.112446052689652
"35286551",0.115431758981081
"73549281",0.0351345174319452
"45800230",0.0358386799960943
"68015667",0.0597160566226426
"65001607",0.0118612986129743
"64493027",0.032178559543533
"82624422",0.0142541018142496
"8109170",0.0789813365383251
"53772202",0.1332155259105
"91018909",0.0356791543312807
"50108912",0.0487575153602399
"60725338",0.0759017781418259
"93462021",0.077460160785304
"71626373",0.112289719956493
"36492755",0.032838734508429
"35941263",0.0973866587430544
"91921829",0.0486985600112787
"3283241",0.10294466741311
"81852640",0.145654184055948
"66754397",0.0371318927800098
